horizon,coefficient,std_error,n_obs,measure,panel_file,t_pre
9,-2.1234291537635603,0.3723322968584719,51475,leverage,mTransitionPanel_116.csv,116
10,-1.836778279772929,0.3297515194362039,50090,leverage,mTransitionPanel_116.csv,116
11,-1.4749836804098133,0.27782563065516935,48757,leverage,mTransitionPanel_116.csv,116
12,NA,NA,47454,leverage,mTransitionPanel_116.csv,116
13,NA,NA,46190,leverage,mTransitionPanel_116.csv,116
0,0.30044613057957215,0.07770796420444641,65544,default_distance,mTransitionPanel_116.csv,116
1,0.6193050383676235,0.1441376806822053,63824,default_distance,mTransitionPanel_116.csv,116
2,0.97367528740221,0.18361162850639157,62142,default_distance,mTransitionPanel_116.csv,116
3,1.2567545381550234,0.22635705981378054,60498,default_distance,mTransitionPanel_116.csv,116
4,1.4361887499749941,0.26335354158259405,58897,default_distance,mTransitionPanel_116.csv,116
5,1.5423284431725524,0.30246894272338126,57337,default_distance,mTransitionPanel_116.csv,116
6,1.820006178261069,0.30258381270346046,55817,default_distance,mTransitionPanel_116.csv,116
7,2.0956468920973643,0.3441107936856195,54342,default_distance,mTransitionPanel_116.csv,116
8,2.145652292665754,0.38043199367212194,52895,default_distance,mTransitionPanel_116.csv,116
9,2.1283347465522993,0.37283896633781216,51475,default_distance,mTransitionPanel_116.csv,116
10,1.8410338705794733,0.3300948091702056,50090,default_distance,mTransitionPanel_116.csv,116
11,1.4783356652501736,0.2782100318650066,48757,default_distance,mTransitionPanel_116.csv,116
12,NA,NA,47454,default_distance,mTransitionPanel_116.csv,116
13,NA,NA,46190,default_distance,mTransitionPanel_116.csv,116
0,-0.2787606806989035,0.02471743460615145,42758,leverage,mTransitionPanel_28.csv,28
1,-0.5526699410721121,0.04245439992772136,41043,leverage,mTransitionPanel_28.csv,28
2,-0.8230222498033045,0.05324029429557657,39380,leverage,mTransitionPanel_28.csv,28
3,-1.0667375689810241,0.06241685423738006,37766,leverage,mTransitionPanel_28.csv,28
4,-1.2543557222561585,0.06815562144896961,36184,leverage,mTransitionPanel_28.csv,28
5,-1.4346755952469612,0.0759925820563253,34630,leverage,mTransitionPanel_28.csv,28
6,-1.5652494062937998,0.08179963143352398,33111,leverage,mTransitionPanel_28.csv,28
7,-1.6598921152767032,0.09202753893477614,31643,leverage,mTransitionPanel_28.csv,28
8,-1.809527235178213,0.09553085400129611,30214,leverage,mTransitionPanel_28.csv,28
9,-1.8479397209582615,0.10001338892720696,28828,leverage,mTransitionPanel_28.csv,28
10,-1.8040052000360476,0.09885696958012367,27476,leverage,mTransitionPanel_28.csv,28
11,-1.5504015105861881,0.08783841507378087,26150,leverage,mTransitionPanel_28.csv,28
12,NA,NA,24859,leverage,mTransitionPanel_28.csv,28
13,NA,NA,23594,leverage,mTransitionPanel_28.csv,28
0,0.2811893212873543,0.02480649666175537,42758,default_distance,mTransitionPanel_28.csv,28
1,0.5552240584255448,0.042565802573233044,41043,default_distance,mTransitionPanel_28.csv,28
2,0.8256897759829668,0.05336010028564975,39380,default_distance,mTransitionPanel_28.csv,28
3,1.0696339916374231,0.06254568825394365,37766,default_distance,mTransitionPanel_28.csv,28
4,1.2572955865994715,0.06829415080755914,36184,default_distance,mTransitionPanel_28.csv,28
5,1.4378189412932854,0.07615854541109618,34630,default_distance,mTransitionPanel_28.csv,28
6,1.5682725034996174,0.08197831792523556,33111,default_distance,mTransitionPanel_28.csv,28
7,1.6629270761664625,0.09223770263825909,31643,default_distance,mTransitionPanel_28.csv,28
8,1.8127187884893006,0.09575585062863266,30214,default_distance,mTransitionPanel_28.csv,28
9,1.8510460590306097,0.10025037205186647,28828,default_distance,mTransitionPanel_28.csv,28
10,1.8069838859847362,0.09907875431794037,27476,default_distance,mTransitionPanel_28.csv,28
11,1.5528261359556739,0.08804238252861749,26150,default_distance,mTransitionPanel_28.csv,28
12,NA,NA,24859,default_distance,mTransitionPanel_28.csv,28
13,NA,NA,23594,default_distance,mTransitionPanel_28.csv,28
0,-0.2850008109229444,0.02797719417189053,47609,leverage,mTransitionPanel_36.csv,36
1,-0.5259484757570654,0.050349389145008534,45862,leverage,mTransitionPanel_36.csv,36
2,-0.7632940340147681,0.06439692996230087,44156,leverage,mTransitionPanel_36.csv,36
3,-0.9691210696074177,0.07788036865457752,42494,leverage,mTransitionPanel_36.csv,36
4,-1.151171013765258,0.08826009974815231,40880,leverage,mTransitionPanel_36.csv,36
5,-1.2960548201217532,0.09503743471136254,39313,leverage,mTransitionPanel_36.csv,36
6,-1.4001616298409105,0.1023657706606405,37781,leverage,mTransitionPanel_36.csv,36
7,-1.5169330044282103,0.10613268222062729,36280,leverage,mTransitionPanel_36.csv,36
8,-1.65515803649423,0.10772408619530315,34817,leverage,mTransitionPanel_36.csv,36
9,-1.705859116156618,0.10715128781226271,33394,leverage,mTransitionPanel_36.csv,36
10,-1.6616266657135113,0.10309089449112502,32017,leverage,mTransitionPanel_36.csv,36
11,-1.4752233357488187,0.09307968419037288,30674,leverage,mTransitionPanel_36.csv,36
12,NA,NA,29359,leverage,mTransitionPanel_36.csv,36
13,NA,NA,28083,leverage,mTransitionPanel_36.csv,36
0,0.28752784910832196,0.028066515768176505,47609,default_distance,mTransitionPanel_36.csv,36
1,0.5285334999737578,0.0504617608564741,45862,default_distance,mTransitionPanel_36.csv,36
2,0.7659417395549281,0.06453143328922906,44156,default_distance,mTransitionPanel_36.csv,36
3,0.9717810756464909,0.07803482289189942,42494,default_distance,mTransitionPanel_36.csv,36
4,1.1538790033280397,0.08842396155186805,40880,default_distance,mTransitionPanel_36.csv,36
5,1.2986237046984945,0.09520306927650937,39313,default_distance,mTransitionPanel_36.csv,36
6,1.4027198428735284,0.10254063285397665,37781,default_distance,mTransitionPanel_36.csv,36
7,1.5194991066378098,0.10630944136737283,36280,default_distance,mTransitionPanel_36.csv,36
8,1.6577843449545928,0.10788907130674226,34817,default_distance,mTransitionPanel_36.csv,36
9,1.7083981780711612,0.10730958871214084,33394,default_distance,mTransitionPanel_36.csv,36
10,1.6640879575170617,0.10324149864721648,32017,default_distance,mTransitionPanel_36.csv,36
11,1.4771750867059885,0.09320330923265069,30674,default_distance,mTransitionPanel_36.csv,36
12,NA,NA,29359,default_distance,mTransitionPanel_36.csv,36
13,NA,NA,28083,default_distance,mTransitionPanel_36.csv,36
0,-0.32220248508346605,0.03486295145339209,52814,leverage,mTransitionPanel_44.csv,44
1,-0.5411167381478151,0.05441107388137348,51071,leverage,mTransitionPanel_44.csv,44
2,-0.7684832324386648,0.07440586746526996,49361,leverage,mTransitionPanel_44.csv,44
3,-1.039639469520201,0.09090577968436689,47692,leverage,mTransitionPanel_44.csv,44
4,-1.2691774283122474,0.10132464129665042,46065,leverage,mTransitionPanel_44.csv,44
5,-1.4781388099541115,0.10989841666934001,44488,leverage,mTransitionPanel_44.csv,44
6,-1.7269208465913444,0.1213832836038704,42951,leverage,mTransitionPanel_44.csv,44
7,-1.9113182540100435,0.1316783192385043,41454,leverage,mTransitionPanel_44.csv,44
8,-2.07781401476533,0.13955357047799657,39991,leverage,mTransitionPanel_44.csv,44
9,-2.14798851902988,0.1406534369690819,38561,leverage,mTransitionPanel_44.csv,44
10,-2.068127784024374,0.13187943744953023,37175,leverage,mTransitionPanel_44.csv,44
11,-1.8344416350393704,0.11450074253172898,35816,leverage,mTransitionPanel_44.csv,44
12,NA,NA,34486,leverage,mTransitionPanel_44.csv,44
13,NA,NA,33194,leverage,mTransitionPanel_44.csv,44
0,0.3251310777468362,0.03502778217111416,52814,default_distance,mTransitionPanel_44.csv,44
1,0.5440555355630052,0.05457976648564046,51071,default_distance,mTransitionPanel_44.csv,44
2,0.7715619680028779,0.074598453506315,49361,default_distance,mTransitionPanel_44.csv,44
3,1.042927987204522,0.091105500217482,47692,default_distance,mTransitionPanel_44.csv,44
4,1.2725936795822705,0.10152768087668711,46065,default_distance,mTransitionPanel_44.csv,44
5,1.4815834516116537,0.11010682329797739,44488,default_distance,mTransitionPanel_44.csv,44
6,1.7305432846819202,0.12160489474724058,42951,default_distance,mTransitionPanel_44.csv,44
7,1.9151062844518991,0.13190072661067626,41454,default_distance,mTransitionPanel_44.csv,44
8,2.0817897750397107,0.13975602846603022,39991,default_distance,mTransitionPanel_44.csv,44
9,2.151820610477032,0.14082884614638044,38561,default_distance,mTransitionPanel_44.csv,44
10,2.071613939182877,0.13204041704931713,37175,default_distance,mTransitionPanel_44.csv,44
11,1.8375290726585194,0.11465669389752722,35816,default_distance,mTransitionPanel_44.csv,44
12,NA,NA,34486,default_distance,mTransitionPanel_44.csv,44
13,NA,NA,33194,default_distance,mTransitionPanel_44.csv,44
0,-0.34747540556509293,0.036399108910400345,54115,leverage,mTransitionPanel_52.csv,52
1,-0.6600601239014912,0.05991258142867905,52388,leverage,mTransitionPanel_52.csv,52
2,-0.9801825274688447,0.08279937519547005,50710,leverage,mTransitionPanel_52.csv,52
3,-1.2077453917759555,0.09379676421618827,49089,leverage,mTransitionPanel_52.csv,52
4,-1.4079754020883095,0.10272145355852805,47516,leverage,mTransitionPanel_52.csv,52
5,-1.6329081654336344,0.10604185185103066,45991,leverage,mTransitionPanel_52.csv,52
6,-1.7559442834690442,0.11115773649030962,44508,leverage,mTransitionPanel_52.csv,52
7,-1.8759065387698741,0.11734486390294033,43061,leverage,mTransitionPanel_52.csv,52
8,-1.9303988701578303,0.1250901177073871,41650,leverage,mTransitionPanel_52.csv,52
9,-2.003908279071822,0.12787220168965155,40273,leverage,mTransitionPanel_52.csv,52
10,-1.9040732198383328,0.12269382884666816,38944,leverage,mTransitionPanel_52.csv,52
